Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
161,100,97.98043333,76.07173333,98.87693333,46.49493333,2.2,18.68833333,38.17463333,24.34303333,50.29173333,77.05813333,95.57346667,98.68676667,76.61973333,66.58833333,48.54453333,54.87813333,53.88693333,61.56333333,62.58843333,63.11103333,69.84453333,81.16813333,95.06273333
162,98.46943333,94.62263333,98.14886667,97.01873333,99.474,70.90983333,97.54576667,99.58733333,99.44466667,98.30643333,95.95923333,85.132,80.18173333,59.11113333,83.41493333,82.53813333,80.10866667,53.83653333,65.88483333,77.66093333,85.42426667,71.09073333,47.58693333,94.4379
163,95.1551,94.31836667,95.97553333,99.58266667,99.39,97.8446,97.37733333,87.61626667,94.96493333,94.57373333,77.58786667,77.46,72.91983333,50.44293333,35.63783333,36.86093333,33.40303333,22.43793333,32.28563333,44.99973333,42.63093333,44.29413333,40.81653333,41.32053333
164,53.87013333,53.63493333,46.52853333,43.55493333,97.81743333,99.69933333,100,99.586,66.08583333,92.49346667,81.69786667,46.25973333,68.41743333,48.14133333,8.547333333,14.72973333,22.24013333,20.92433333,22.69593333,38.90133333,55.23093333,60.23673333,48.94773333,64.01553333
165,32.58763333,36.16633333,76.2544,53.56773333,10.61043333,5.501333333,51.03093333,100,99.70466667,96.345,93.7356,44.34453333,62.54823333,74.42733333,59.49303333,16.82213333,16.30613333,23.08293333,50.94693333,81.31426667,89.00453333,85.47906667,87.63453333,87.89026667
166,85.97226667,77.44173333,90.59373333,84.98586667,70.72893333,73.10073333,55.48293333,90.4476,100,100,100,100,99.456,94.13363333,53.24853333,14.08113333,11.20383333,14.99883333,12.50103333,19.25593333,29.25053333,27.83113333,46.62933333,97.4697
167,89.86306667,95.1714,96.9155,95.09533333,99.58333333,99.95133333,100,100,99.89933333,99.98533333,100,99.58,99.69533333,94.95406667,56.69913333,48.10773333,60.65883333,67.11093333,86.2828,94.69326667,95.68213333,94.05213333,95.19856667,94.73673333
168,75.61323333,51.36693333,75.88906667,99.86333333,99.642,95.80166667,88.0912,99.49333333,100,100,100,100,100,83.214,53.11413333,19.89233333,29.29583333,23.59033333,11.10723333,8.623233333,5.8,3.28,2.789333333,2.866666667
169,2.757333333,2.837333333,5.986666667,2.488,2.736,6.164,4.428,32.90473333,79.96253333,92.56653333,99.93933333,96.18743333,10.99683333,0.986666667,0.0144,1.445333333,1.424,9.527133333,16.23733333,22.38633333,31.77223333,28.84283333,24.04103333,44.44533333
170,43.90773333,40.41333333,84.51093333,70.66863333,64.35723333,53.83653333,53.33253333,58.68903333,54.57573333,55.95543333,23.84473333,17.35533333,12.72183333,10.92093333,5.944666667,5.534,11.41083333,12.78393333,11.74893333,7.788,13.57053333,7.816,32.91983333,78.53773333
